Feature ID,Domain,Phylum,Class,Order,Family,Genus,species
e61a7bc42a30f0ca4f170b5e3f6cad0c,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Unassigned
089019c9745b56c35ffbaea26d6b1806,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,Unassigned
8403b6dbf52ec50c0a7b83ee636cd6e9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,Unassigned
315fae925226ac44af01d992c1732f74,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Zavarzinella,Unassigned
98681ff2bb6380bb37ee2d4cd82a493c,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium
d32e579b3ae7b2aae8d5bf9f027c29af,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Unassigned
a7b27c8b9b747285948dd3c3afeb4c91,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Chlorosarcina_brevispinosa
3e3b15bc7b7aae21f6b0c94879bb6c0d,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
bcc6da5f621cbdfc1f0c9becbac6cdff,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,Unassigned
2173d6646ccc30c8bc1745f4a95c92da,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Lecanora_strobilina
0e11a8e894a8d9a3241d7cd7915570ac,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
35f5f1f86053dc0aeede8f1907f217c4,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
00f8980d669c06140151afa70fde9444,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
76d1e097f6d29b86080dbcb117c233af,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,uncultured_bacterium
6606f680e9a7a36d254524c2b17cd969,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,Unassigned
22413f1a54df8978086c7d50f21e5ad2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Rhynchosporium_secalis
08bdc6c81f6b9daab3d132b54e1d45bc,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Unassigned
2a2ce9d1533f5a32240f7cb7ff31876e,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Lecanora_strobilina
f299ac3d8f33bb7e1c33d66d8c2714cc,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus_Soleaferrea,Unassigned
637b9b3f4d1cbb1a10c07817619cdf69,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
d892d40bc79d0c356bd2886ce8d120ee,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Unassigned
